strain	date
hCoV-19/HongKong/HK-HKPU-PUN519866986/2022	2022-07-28
hCoV-19/HongKong/HK-HKPU-PU22MV044017/2022	2022-08-05
hCoV-19/HongKong/HK-HKPU-PUN524782051/2022	2022-07-27
hCoV-19/HongKong/HK-HKPU-PUN511524156/2022	2022-07-26
hCoV-19/HongKong/HK-HKPU-PUN52662383A/2022	2022-07-26
hCoV-19/HongKong/HK-HKPU-PUN526228701/2022	2022-07-29
hCoV-19/HongKong/HK-HKPU-PUN384712005/2022	2022-07-29
hCoV-19/HongKong/HK-HKPU-PUN38584391A/2022	2022-08-24
hCoV-19/HongKong/HK-HKPU-PUN38384806A/2022	2022-08-22
hCoV-19/HongKong/HK-HKPU-PUN384530349/2022	2022-08-21
hCoV-19/HongKong/HK-HKPU-PUN384281195/2022	2022-08-08
hCoV-19/HongKong/HK-HKPU-PUN526707693/2022	2022-08-07
hCoV-19/HongKong/HK-HKPU-PUN524649513/2022	2022-08-06
hCoV-19/HongKong/HK-HKPU-PUN525300670/2022	2022-08-05
hCoV-19/HongKong/HK-HKPU-PUN525298153/2022	2022-08-05
hCoV-19/HongKong/HK-HKPU-PUN523624495/2022	2022-08-04
hCoV-19/HongKong/HK-HKPU-PUN527289968/2022	2022-08-04
hCoV-19/HongKong/HK-HKPU-PUN526916446/2022	2022-08-04
hCoV-19/HongKong/HK-HKPU-PUN685369334/2022	2022-08-04
hCoV-19/HongKong/HK-HKPU-PUN523534704/2022	2022-08-03
hCoV-19/HongKong/HK-HKPU-PUN523533627/2022	2022-08-03
hCoV-19/HongKong/HK-HKPU-PUN527664866/2022	2022-08-02
hCoV-19/HongKong/HK-HKPU-PUN384143949/2022	2022-08-02
hCoV-19/HongKong/HK-HKPU-PUN521216993/2022	2022-08-02
hCoV-19/HongKong/HK-HKPU-PUN51402099A/2022	2022-08-01
hCoV-19/HongKong/HK-HKPU-PUH104260642/2022	2022-07-25
hCoV-19/HongKong/HK-HKPU-PUH093153942/2022	2022-07-12
hCoV-19/HongKong/HK-HKPU-PUH078030827/2022	2022-07-09
hCoV-19/HongKong/HK-HKPU-PUN516971223/2022	2022-08-08
hCoV-19/HongKong/HK-HKPU-PUN521214125/2022	2022-08-04
hCoV-19/HongKong/HK-HKPU-PU22MV044583/2022	2022-08-10
hCoV-19/HongKong/HK-HKPU-PU22MC744853/2022	2022-07-23
hCoV-19/HongKong/HK-HKPU-PUN519532611/2022	2022-07-20
hCoV-19/HongKong/HK-HKPU-PUN517828688/2022	2022-07-24
hCoV-19/HongKong/HK-HKPU-PUN38331720A/2022	2022-06-22
hCoV-19/HongKong/HK-HKPU-PUN383989259/2022	2022-07-05
hCoV-19/HongKong/HK-HKPU-PUN384375254/2022	2022-07-07
hCoV-19/HongKong/HK-HKPU-PUN384642988/2022	2022-06-26
hCoV-19/HongKong/HK-HKPU-PUN384961854/2022	2022-07-18
hCoV-19/HongKong/HK-HKPU-PUN511540089/2022	2022-07-23
hCoV-19/HongKong/HK-HKPU-PUN511573335/2022	2022-07-14
hCoV-19/HongKong/HK-HKPU-PUN511592763/2022	2022-07-22
hCoV-19/HongKong/HK-HKPU-PUN513773676/2022	2022-07-12
hCoV-19/HongKong/HK-HKPU-PUN514175969/2022	2022-07-25
hCoV-19/HongKong/HK-HKPU-PUN516049839/2022	2022-07-08
hCoV-19/HongKong/HK-HKPU-PUN51765924A/2022	2022-06-25
hCoV-19/HongKong/HK-HKPU-PUN51821716A/2022	2022-07-15
hCoV-19/HongKong/HK-HKPU-PUN518372890/2022	2022-07-17
hCoV-19/HongKong/HK-HKPU-PUN51854375A/2022	2022-07-25
hCoV-19/HongKong/HK-HKPU-PUN518569686/2022	2022-07-19
hCoV-19/HongKong/HK-HKPU-PUN519302306/2022	2022-06-21
hCoV-19/HongKong/HK-HKPU-PUN51956291A/2022	2022-07-21
hCoV-19/HongKong/HK-HKPU-PUN519566877/2022	2022-07-05
hCoV-19/HongKong/HK-HKPU-PUN520358212/2022	2022-06-24
hCoV-19/HongKong/HK-HKPU-PUN52047123A/2022	2022-06-25
hCoV-19/HongKong/HK-HKPU-PUN521122565/2022	2022-07-06
hCoV-19/HongKong/HK-HKPU-PUN521826112/2022	2022-07-05
hCoV-19/HongKong/HK-HKPU-PUN522605543/2022	2022-07-06
hCoV-19/HongKong/HK-HKPU-PUN522607988/2022	2022-07-06
hCoV-19/HongKong/HK-HKPU-PUN525061579/2022	2022-07-24
hCoV-19/HongKong/HK-HKPU-PUN526577331/2022	2022-07-20
hCoV-19/HongKong/HK-HKPU-PUN526617554/2022	2022-07-26
hCoV-19/HongKong/HK-HKPU-PUN683580046/2022	2022-07-06
hCoV-19/HongKong/HK-HKPU-PUN526616922/2022	2022-07-26
hCoV-19/HongKong/HK-HKPU-PUN518163442/2022	2022-08-16
hCoV-19/HongKong/HK-HKPU-PUN520676818/2022	2022-08-15
hCoV-19/HongKong/HK-HKPU-PU22MC875145/2022	2022-07-28
hCoV-19/HongKong/HK-HKPU-PU22MC875149/2022	2022-07-28
hCoV-19/HongKong/HK-HKPU-PU22MC875148/2022	2022-07-28
hCoV-19/HongKong/HK-HKPU-PU22MC875147/2022	2022-07-28
hCoV-19/HongKong/HK-HKPU-PU22MC875150/2022	2022-07-28
hCoV-19/HongKong/HK-HKPU-PU22MC875221/2022	2022-07-29
hCoV-19/HongKong/HK-HKPU-PU22MC875185/2022	2022-07-29
hCoV-19/HongKong/HK-HKPU-PU22MB353849/2022	2022-07-27
hCoV-19/HongKong/HK-HKPU-PU22MC747580/2022	2022-07-27
hCoV-19/HongKong/HK-HKPU-PU22MC747601/2022	2022-07-27
hCoV-19/HongKong/HKU-426/2022	2022-07-04
hCoV-19/HongKong/HKU-460/2022	2022-07-26
hCoV-19/HongKong/HKU-472/2022	2022-08-11
hCoV-19/HongKong/HKU-473/2022	2022-08-14
hCoV-19/HongKong/HKU-474/2022	2022-08-14
hCoV-19/HongKong/HKU-480/2022	2022-08-19
hCoV-19/HongKong/HKU-481/2022	2022-08-19
hCoV-19/HongKong/HKU-521/2022	2022-08-23
hCoV-19/HongKong/HKU-525/2022	2022-08-23
hCoV-19/HongKong/HKU-528/2022	2022-08-23
hCoV-19/HongKong/HKU-546/2022	2022-08-24
hCoV-19/HongKong/HKU-562/2022	2022-08-24
hCoV-19/HongKong/HK-HKPU-MB338945/2022	2022-06-11
hCoV-19/HongKong/HK-HKPU-MB338967/2022	2022-06-11
hCoV-19/HongKong/HK-HKPU-MB339344/2022	2022-06-13
hCoV-19/HongKong/HK-HKPU-MC869425/2022	2022-06-12
hCoV-19/HongKong/HK-HKPU-MC868663/2022	2022-06-04
hCoV-19/HongKong/HK-HKPU-MB339701/2022	2022-06-14
hCoV-19/HongKong/HK-HKPU-MC870411/2022	2022-06-22
hCoV-19/HongKong/HK-HKPU-TM715897/2022	2022-06-17
hCoV-19/HongKong/HK-HKPU-TM715921/2022	2022-06-17
hCoV-19/HongKong/HK-HKPU-MC871027/2022	2022-06-27
hCoV-19/HongKong/HK-HKPU-MC872992/2022	2022-07-13
hCoV-19/HongKong/HK-HKPU-MC872865/2022	2022-07-12
hCoV-19/HongKong/HK-HKPU-MB351158/2022	2022-07-21
hCoV-19/HongKong/HK-HKPU-MB352963/2022	2022-07-25
hCoV-19/HongKong/HK-HKPU-MB352822/2022	2022-07-25
hCoV-19/HongKong/HK-HKPU-MC745461/2022	2022-07-24
hCoV-19/HongKong/HKU-230518-018/2022	2022-06-08
hCoV-19/HongKong/HKU-230518-027/2022	2022-06-09
hCoV-19/HongKong/HKU-230518-030/2022	2022-06-11
hCoV-19/HongKong/HKU-230518-040/2022	2022-06-22
hCoV-19/HongKong/HKU-230518-041/2022	2022-06-22
hCoV-19/HongKong/HKU-230518-049/2022	2022-06-24
hCoV-19/HongKong/HKU-230518-056/2022	2022-06-26
hCoV-19/HongKong/HKU-230518-058/2022	2022-06-26
hCoV-19/HongKong/HKU-230518-067/2022	2022-06-29
hCoV-19/HongKong/HKU-230518-068/2022	2022-06-30
hCoV-19/HongKong/HKU-230518-073/2022	2022-07-02
hCoV-19/HongKong/HKU-230518-083/2022	2022-07-08
hCoV-19/HongKong/HKU-230518-085/2022	2022-07-08
hCoV-19/HongKong/HKU-230518-144/2022	2022-08-07
hCoV-19/HongKong/HKU-230518-145/2022	2022-08-07
hCoV-19/HongKong/HKU-230518-150/2022	2022-08-10
hCoV-19/HongKong/HKU-230518-164/2022	2022-08-16
hCoV-19/HongKong/HK-HKPU-PUN385796946/2022	2022-09-14
hCoV-19/HongKong/HK-HKPU-PUN524367836/2022	2022-09-12
hCoV-19/HongKong/HK-HKPU-PUN525452683/2022	2022-09-12
hCoV-19/HongKong/HK-HKPU-PUN684402109/2022	2022-09-08
hCoV-19/HongKong/HK-HKPU-PUN520622521/2022	2022-09-07
hCoV-19/HongKong/HK-HKPU-PUN386598625/2022	2022-09-06
hCoV-19/HongKong/HK-HKPU-PUN68399407A/2022	2022-09-05
hCoV-19/HongKong/HK-HKPU-PUN683691883/2022	2022-09-03
hCoV-19/HongKong/HK-HKPU-PUN684007730/2022	2022-09-01
hCoV-19/HongKong/HK-HKPU-PUN386469280/2022	2022-09-01
hCoV-19/HongKong/HK-HKPU-PUN683508248/2022	2022-08-27
hCoV-19/HongKong/HK-HKPU-PUN383910679/2022	2022-08-27
hCoV-19/HongKong/HK-HKPU-PUN683644303/2022	2022-08-26
hCoV-19/HongKong/HK-HKPU-PUN683659831/2022	2022-08-29
hCoV-19/HongKong/VK22268850/2022	2022-09-27
hCoV-19/HongKong/VK22267830/2022	2022-09-17
